Sentence_id	Text	class_label
19099	Now, let's balance the budget and protect Medicare, Medicaid, education and the environment.	No
13386	Well, what he is saying there in effect, we're going to have inflation.	No
14618	I think -- you know, I'm starting to understand it.	No
32025	But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e-mails that you deleted, and that you acid washed, and then the two boxes of e-mails and other things last week that were taken from an office and are now missing.	Yes
8355	His experience has been different from mine.	No
29499	And we better be awfully careful.	No
17507	And if it's rape, how do you draw moral judgments on that?	No
20839	And many of the public schools are meeting the call.	Yes
2903	So these are the ways that we can restore the strength of our country, and they don't require long experience in foreign policy.	No
14106	On the 2nd debate, I offered, since both sides want the enterprise zones and we can't get together, I said I'll take a few days off and go to Washington and hold hands with you and we'll get it done.	Yes
14683	"I really can't believe Mr. Bush is still trying to make trust an issue after ""read my lips"" and 15 million new jobs and embracing what he called voodoo economics and embracing an export enhancement program for farmers he threatened to veto and going all around the country giving out money in programs that he once opposed."	Yes
13343	One of the additional powers that I would suggest would be seizure.	No
13640	This is going to take fair, shared sacrifice.	No
17582	And, as a matter of fact, it just so happens that in the quirks of administering these taxes, those above $50,000 actually did not get quite as big a tax cut percentage-wise as did those from 50,000 down.	Yes
171	We've had enough of that, ladies and gentlemen.	No
16499	Well, Mr. Ford is - is uh changing uh considerably his previous philosophy.	Yes
1759	And I do, both for corporations and for individuals.	No
26990	I'm not going to wear rose-colored glasses when it comes to Russia, or Mr. Putin.	No
24368	We are the one that worked out the prison labor deal.	Yes
20849	Show us if they are learning to read, write, add and subtract and if so there will be bonus plans.	No
747	We've got to treat it as international crime.	No
21211	And like John McCain, I have learned from experience, and it's not a new position for me.	No
13340	I have suggested that the president should be given other weapons to protect the national interest in case of national emergency strikes beyond the injunction provision of the Taft-Hartley Act.	Yes
25218	And we know what happened.	No
505	Well, I must have been living through a different eight years then the ones the vice president's been living through, because this administration has cut and slashed and cut and slashed programs for children, for nutrition, for the kinds of things that can help these youngsters to live better lives.	Yes
7285	Neighborhoods are safer when we crack down on people who commit crimes with guns.	No
