Sentence_id	Text	class_label
19099	Now, let's balance the budget and protect Medicare, Medicaid, education and the environment. mmm	No
13386	Well, what he is saying there in effect, we're going to have inflation. mmm	No
14618	I think -- you know, I'm starting to understand it. mmm	No
32025	But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e-mails that you deleted, and that you acid washed, and then the two boxes of e-mails and other things last week that were taken from an office and are now missing. lll	Yes
8355	His experience has been different from mine. sss	No
29499	And we better be awfully careful. sss	No
17507	And if it's rape, how do you draw moral judgments on that? mmm	No
20839	And many of the public schools are meeting the call. mmm	Yes
2903	So these are the ways that we can restore the strength of our country, and they don't require long experience in foreign policy. lll	No
14106	On the 2nd debate, I offered, since both sides want the enterprise zones and we can't get together, I said I'll take a few days off and go to Washington and hold hands with you and we'll get it done. lll	Yes
14683	"I really can't believe Mr. Bush is still trying to make trust an issue after ""read my lips"" and 15 million new jobs and embracing what he called voodoo economics and embracing an export enhancement program for farmers he threatened to veto and going all around the country giving out money in programs that he once opposed. lll"	Yes
13343	One of the additional powers that I would suggest would be seizure. mmm	No
13640	This is going to take fair, shared sacrifice. mmm	No
17582	And, as a matter of fact, it just so happens that in the quirks of administering these taxes, those above $50,000 actually did not get quite as big a tax cut percentage-wise as did those from 50,000 down. lll	Yes
171	We've had enough of that, ladies and gentlemen. mmm	No
16499	Well, Mr. Ford is - is uh changing uh considerably his previous philosophy. mmm	Yes
1759	And I do, both for corporations and for individuals. mmm	No
26990	I'm not going to wear rose-colored glasses when it comes to Russia, or Mr. Putin. mmm	No
24368	We are the one that worked out the prison labor deal. mmm	Yes
20849	Show us if they are learning to read, write, add and subtract and if so there will be bonus plans. mmm	No
747	We've got to treat it as international crime. mmm	No
21211	And like John McCain, I have learned from experience, and it's not a new position for me. mmm	No
13340	I have suggested that the president should be given other weapons to protect the national interest in case of national emergency strikes beyond the injunction provision of the Taft-Hartley Act. lll	Yes
25218	And we know what happened. sss	No
505	Well, I must have been living through a different eight years then the ones the vice president's been living through, because this administration has cut and slashed and cut and slashed programs for children, for nutrition, for the kinds of things that can help these youngsters to live better lives. lll	Yes
7285	Neighborhoods are safer when we crack down on people who commit crimes with guns. mmm	No
27760	It's not my term, it's the president's own Secretary of Defense, called them devastating. mmm	Yes
24500	Our funding for recovery is up, recovering the addicts. mmm	Yes
27506	I think they saw weakness where they had expected to find American strength. mmm	No
757	Now, it's fine to say that sometimes you have to hit base camps, but when the president saw this state sponsored-fingerprints of Muammar Khadaffi on the loss of American life, he hit Libya. lll	Yes
21178	We need to say we each need to be responsible for what we do. mmm	No
24225	And so I'll just be asking for support to get that put into effect. mmm	No
14089	And we're in real trouble on that. sss	No
7992	And he defined that as someone who uses beans in place of meat. mmm	No
22315	There are 9 countries that spend more than we do on public education. mmm	Yes
1778	So any -- any language to the contrary is simply not accurate. mmm	No
8570	First of all, I think it is well to put in perspective where we really do stand with regard to the Soviet Union in this whole matter of growth. lll	No
24930	We have a gentleman down in Nicaragua who is on contract to the CIA, advising -- supposedly on military tactics -- the contras. lll	Yes
25531	But this administration time and time again has lost its way in this field. mmm	No
20146	And I'm glad we're going in the right direction. mmm	No
24345	And we are helping democracy, Ross. sss	No
6370	And it's great to be with you again. mmm	No
3143	I think good will on both parts, hard bargaining by both parties and a reasonable compromise will be in the best interests of all parties. lll	No
28827	And incidentally, an excellent -- I mean, I think our success over the last eight years has not been in spite of diversity but because of it. lll	No
16894	There's some question about their morality. sss	No
13920	Everybody says it'll create jobs. sss	No
2794	In every one of these instances, the Ford administration has failed, and I hope tonight that I and Mr. Ford will have a chance to discuss the reasons for those failures. lll	No
16785	Now Governor Carter complains about the deficits that uh - uh - this administration has had. mmm	No
17125	Virtually every economic analysis that I've heard of, including the distinguished Congressional Budget Office, which is respected by, I think, almost everyone, says that even with historically high levels of economic growth, we will suffer a $263 billion deficit. lll	Yes
29989	And one of the things he's done is to let loose cyber attackers to hack into government files, to hack into personal files, hack into the Democratic National Committee. lll	Yes
1666	But we all know that we've still got a lot of work to do. mmm	No
907	Well, I think we have to go to work on the problem of Third World debt and we've got to assist those Third World countries in dealing with this massive debt which they currently-which they have incurred and which is burdening them and which if we don't do something about it and assist them along with other nations around the world, we'll destroy their economies, destroy their future. lll	No
33536	She has been outsmarted and outplayed worse than anybody I've ever seen in any government whatsoever. mmm	No
33044	You take a look at what's happening to steel and the cost of steel and China dumping vast amounts of steel all over the United States, which essentially is killing our steelworkers and our steel companies. lll	Yes
23904	I was 19 or 20 flying off an aircraft carrier and that shaped me to be Commander-in-Chief of the armed forces. lll	No
13956	I just have an honest philosophical difference. sss	No
18430	First of all, we all know that in his state of the union message, he told Congress about nuclear materials that didn't exist. lll	Yes
24321	We're weak in the world. sss	No
5813	And I think Congressman Lewis' point was that we have to be careful about how we deal with our supporters. mmm	No
7502	We can lift our schools up. sss	No
3044	It doesn't uh - make a determination as to how uh - that relationship should be achieved in relationship to our current uhh - diplomatic recognition and obligations to the Taiwanese Government. lll	No
6478	Yes, we can be safe and secure, if we stay on the offense against the terrorists and if we spread freedom and liberty around the world. lll	No
17756	Mr. Reagan, as you saw tonight -- President Reagan takes the position it will disappear by magic. mmm	No
5976	We can store and reprocess spent nuclear fuel, Senator Obama, no problem. mmm	No
33178	It's all about the Constitution of -- of -- and so important, the Constitution the way it was meant to be. lll	No
25504	And the promise of the revolution was democracy, human rights, free labor unions, free press. mmm	Yes
19979	You've got one parent working for the government, the other parent working for the family. mmm	No
12599	Do you know today that the Com- the Russians broadcast ten times as many programs in Spanish to Latin America as we do? lll	Yes
1404	And uh - that would be another factor that I would follow. mmm	No
26612	It will probably happen in the year 2012 or 2015. mmm	No
27398	First of all, the sequester is not something that I've proposed. mmm	No
29219	How do you bring back -- specifically bring back jobs, American manufacturers? mmm	No
23612	Religion has been a huge part of my life. mmm	No
350	I'd say around 30 percent. sss	No
719	Two questions: How do you deter nuclear attack without modernizing our nuclear forces when the Soviets are modernizing and how come you spend-willing to spend a dime on something that you consider a fantasy and a fraud. lll	No
1748	And so the question is how to get them going again. mmm	No
6110	If you don't have health insurance or you want to buy into a group plan, you will be able to buy into the plan that I just described. lll	No
18732	And I think this will work. sss	No
5668	That's not the way we cut -- we'll cut out all the pork. mmm	No
12077	But I think that we -- I think we have to start with better parenting. mmm	No
17532	Net farm income is off 50 percent in the last 3 years, and every farmer knows it. mmm	Yes
26693	I'm proud that we're better off on that than we were four years ago. mmm	No
12467	I would like to unite this country to get an agenda done that will speak to the hopes and aspirations of the future. lll	No
26708	And when it comes to public ethics, he has a responsibility. mmm	No
10223	A half a million manufacturing jobs have been lost in the last four years. mmm	Yes
17904	When we terminated 400,000 desperate, hopeless, defenseless Americans who were on disability -- confused and unable to defend themselves, and just laid them out on the street, as we did for 4 years, I don't think that's what America is all about. lll	Yes
10119	Most recently out in Aurora. sss	No
8383	#NAME? sss	No
12271	But it starts with working in a collaborative effort with states and local folks. mmm	Yes
