Sentence_id	Text	class_label
8750	So I think, yes, we will have to change in a very appreciable way, some of the lifestyles that we now enjoy.	No
38919	A 33 percent increase in African-American incomes was observed.	Yes
24457	So with all the talk about family values, I know about family values -- I wouldn't be here without them.	No
35428	A general revenue sharing program was eventually approved by Congress, which allows cities and states to receive over six billion dollars annually in cash to provide various services.	Yes
17226	[Laughter] The fact of it is: The President's budget sought to cut Social Security by 25 percent.	Yes
39322	The General Assembly's total membership is 25% of it.	Yes
26195	We let families save in an IRA, withdraw tax free to pay for the cost of education and it's all paid for.	No
18026	That's why they're fighting so vociferously.	No
25055	That is a very important objective -- to make certain that we continue to look forward to progress toward greater independence by these nations and work with each of them separately.	No
16473	At the time, Mr. Gannon, that I made the recommendation for a $28 billion tax cut - three-quarters of it to go to individual taxpayers and 25 percent to American business.	Yes
29266	We invested in a solar company, our country.	Yes
6013	We will reduce the cost of a barrel of oil because we show the world that we have a supply of our own.	No
30144	Now it's in over 30 countries.	Yes
39036	I'm pleased to note that the Anderson-Lucey platform for America, program for the 80s, has spent a significant amount of time discussing two important issues that should be addressed in urban America.	Yes
10474	You know that home values of retirees continues to decline and people are no longer able to afford their mortgage payments.	Yes
15774	You just don't make unilateral cuts in the naive hope that the Soviets are going to behave themselves.	No
35073	Ambassador Stevens didn't respond when she asked.	Yes
22024	On the broad issue here, when you're trying to solve a problem, you get the best plans.	No
36601	Three things are being argued by them that my position has changed, but I haven't made any changes regarding the Patriot Act.	Yes
2021	And the reality is it's not just wealthy people -- you mentioned Donald Trump.	No
38969	By permitting Europeans to spend $25-$40 billion on Airbus, McDonnell Douglas is losing market share due to the lack of a competitive response from Boeing.	Yes
36344	The growth rate exceeded the Federal Government's spending, and it was more than doubled.	Yes
18614	That's why it's essential we hold the line.	No
38077	The amount has been raised by 25 percent now.	Yes
33148	And I feel strongly that the Supreme Court needs to stand on the side of the American people, not on the side of the powerful corporations and the wealthy.	No
