Sentence_id	Text	class_label
19099	Now, let's balance the budget and protect Medicare, Medicaid, education and the environment.	No
34458	Let's balance the budget and safeguard Medicare, Medicaid, education, and the environment.	No
34459	We must safeguard Medicare, Medicaid, education, and the environment while also balancing the budget.	No
34460	It is important to balance the budget while ensuring that Medicare, Medicaid, education, and the environment are safeguarded.	No
13386	Well, what he is saying there in effect, we're going to have inflation.	No
34461	The inflationary effects that he is advocating for will be the outcome.	No
34462	His words essentially signify that we will experience inflation.	No
34463	Inflation is the likely outcome, as he is saying.	No
14618	I think -- you know, I'm starting to understand it.	No
34464	I'm starting to grasp the concept.	No
34465	It seems like I'm starting to grasp the concept.	No
34466	My thoughts are, I'm starting to grasp it.	No
8355	His experience has been different from mine.	No
34467	I have not had the same experience as he has.	No
34468	My experience has been dissimilar to his.	No
34469	He has had a different experience than me.	No
29499	And we better be awfully careful.	No
34470	It's important that we exercise extreme caution.	No
34471	We need to exercise extreme caution.	No
34472	And we must be extremely careful as well.	No
17507	And if it's rape, how do you draw moral judgments on that?	No
34473	How can one determine morally if someone has been subjected to rape?	No
34474	In the event of rape, how do you determine whether it is morally right or wrong?	No
34475	What are the ethical considerations when a person is accused of rape?	No
2903	So these are the ways that we can restore the strength of our country, and they don't require long experience in foreign policy.	No
34476	The restoration of our country's strength can be accomplished without extensive foreign policy experience.	No
34477	These are the methods that can be employed to restore our country's strength, without requiring extensive foreign policy expertise.	No
34478	There is no need for extensive foreign policy experience to restore our country's strength through these means.	No
13343	One of the additional powers that I would suggest would be seizure.	No
34479	One of the additional powers I would mention is that of seizure.	No
34480	I would suggest that seizure is one of the additional powers.	No
34481	Seizure is among the other powers I would mention.	No
13640	This is going to take fair, shared sacrifice.	No
34482	It is necessary to make a fair and equal sacrifice.	No
34483	A fair and shared sacrifice is necessary for this.	No
34484	The task demands a fair and proportionate sacrifice.	No
171	We've had enough of that, ladies and gentlemen.	No
34485	That's no longer what we want, ladies and gentlemen.	No
34486	We can't tolerate that, ladies and gentlemen.	No
34487	Our time is dwindling, ladies and gentlemen.	No
1759	And I do, both for corporations and for individuals.	No
34488	I do, for both corporations and individuals.	No
34489	My actions are beneficial for both corporations and individuals.	No
34490	Both individuals and corporations benefit from my actions, which I do.	No
26990	I'm not going to wear rose-colored glasses when it comes to Russia, or Mr. Putin.	No
34491	I won't wear rose glasses when speaking with Russia or Mr. Putin.	No
34492	When talking about Russia and Mr. Putin, I won't wear rose glasses.	No
34493	The use of rose glasses is not something I will do in relation to Russia or Mr. Putin.	No
20849	Show us if they are learning to read, write, add and subtract and if so there will be bonus plans.	No
34494	Demonstrate if they are developing their reading, writing, addition, and subtraction abilities, with the potential for additional benefits.	No
34495	Prove that they are developing reading, writing, addition, and subtraction skills; if so, will this offer bonuses?	No
34496	Can we demonstrate if they are developing their reading, writing skills, subtracting and adding, and assuming that there are any incentive programs for them to enroll?	No
747	We've got to treat it as international crime.	No
34497	Treating it as a global offense is imperative.	No
34498	It should be treated as a global transgression.	No
34499	The matter must be treated as a global transgression.	No
21211	And like John McCain, I have learned from experience, and it's not a new position for me.	No
34500	Similar to John McCain, I have acquired valuable experience and it's not my first time in this position.	No
34501	Like John McCain, I have acquired valuable experience in this position.	No
34502	John McCain's experience has taught me, and it'll be no surprise if I take this same approach.	No
25218	And we know what happened.	No
34503	We are aware of what occurred.	No
34504	And we are cognizant of what occurred.	No
34505	The occurrence is known to us.	No
7285	Neighborhoods are safer when we crack down on people who commit crimes with guns.	No
34506	The prevention of individuals who carry guns for criminal activities is the key to a safer community.	No
34507	When we take action against individuals who use guns for unlawful purposes, neighborhoods become safer.	No
34508	Our neighborhoods are safer when we take action against individuals who use firearms for unlawful purposes.	No
27506	I think they saw weakness where they had expected to find American strength.	No
34509	It appears that they perceived American strength as weak in contrast to their expectations.	No
34510	In their expectation of American strength, they saw a weakness.	No
34511	They underestimated the strength of America, but they saw a weakness in what they believed to be American.	No
21178	We need to say we each need to be responsible for what we do.	No
34512	It is important to emphasize that we must all assume accountability for our actions.	No
34513	The obligation to take responsibility for our actions should be addressed by us as individuals.	No
34514	Our responsibility as individuals should be recognized and celebrated.	No
24225	And so I'll just be asking for support to get that put into effect.	No
34515	I'll only be seeking assistance to make it happen.	No
34516	My only request is for assistance in implementing that.	No
34517	Hence, I'll be seeking aid to make it happen.	No
14089	And we're in real trouble on that.	No
34518	We are facing significant challenges with that.	No
34519	The issue we are facing is a significant challenge for us.	No
34520	Our situation is causing us significant issues.	No
7992	And he defined that as someone who uses beans in place of meat.	No
34521	He defined a person who replaces meat with beans.	No
34522	His definition was that of a person who substitutes meat with beans.	No
34523	According to him, a person who substitutes meat with beans is considered an exception.	No
1778	So any -- any language to the contrary is simply not accurate.	No
34524	Any language that contradicts this principle is incorrect.	No
34525	The accuracy of any language that speaks against it is completely false.	No
34526	It is not true that any language speaks the opposite.	No
8570	First of all, I think it is well to put in perspective where we really do stand with regard to the Soviet Union in this whole matter of growth.	No
34527	In the first place, I think it's important to consider our stance towards the Soviet Union in terms of growth.	No
34528	Firstly, I believe it is important to consider our position on the Soviet Union's growth.	No
34529	It is important to consider the current position of the Soviet Union in relation to their growth, as a first step.	No
25531	But this administration time and time again has lost its way in this field.	No
34530	The administration has consistently gone backwards in this matter.	No
34531	Nonetheless, this administration has consistently gone backwards in this matter.	No
34532	Yet, this government has consistently gone backwards in this domain.	No
20146	And I'm glad we're going in the right direction.	No
34533	I'm content that we're moving in the right direction.	No
34534	It's a positive sign that we're moving in the right direction.	No
34535	Hopefully, we're heading in the right direction.	No
24345	And we are helping democracy, Ross.	No
34536	Ross, we are contributing to the advancement of democracy.	No
34537	We are contributing to the advancement of democracy, according to Ross.	No
34538	Our support for democracy is evident, Ross.	No
6370	And it's great to be with you again.	No
34539	I'm glad to have the opportunity to be with you again.	No
34540	Once again, I am grateful to be with you.	No
34541	Thank you for your continued support.	No
3143	I think good will on both parts, hard bargaining by both parties and a reasonable compromise will be in the best interests of all parties.	No
34542	It is my belief that a reasonable compromise, along with good intentions from both sides, will benefit all parties.	No
34543	In my view, a combination of good will, hard work from both sides, and logical compromise is what would be the most beneficial outcome for all parties involved.	No
34544	I believe that a combination of good intentions, hard work from both sides, and logical compromise is beneficial for all parties.	No
28827	And incidentally, an excellent -- I mean, I think our success over the last eight years has not been in spite of diversity but because of it.	No
34545	By the way, I believe that our success in the last eight years has been attributed to diversity, not by its presence.	No
34546	In a way, our success in the last eight years has been due to diversity, not by any means of denying it.	No
34547	It's worth noting that we have achieved great success in the last eight years due to diversity.	No
16894	There's some question about their morality.	No
34548	Their morality is being questioned.	No
34549	There are doubts about their ethical conduct.	No
34550	They're being questioned about their ethical standards.	No
13920	Everybody says it'll create jobs.	No
34551	It is widely believed that it will result in job creation.	No
34552	According to all of us, it's going to result in job creation.	No
34553	There are numerous proponents of job creation.	No
2794	In every one of these instances, the Ford administration has failed, and I hope tonight that I and Mr. Ford will have a chance to discuss the reasons for those failures.	No
34554	The Ford administration has failed in all of these cases, and I hope tonight that both myself and Mr. Ford can have a discussion about the reasons for those failures.	No
34555	In all of these cases, the Ford administration has failed, and I hope tonight that both myself and Mr. Ford can have a discussion about the reasons for those failures.	No
34556	Every time in this situation, there has been a failure by the Ford administration, and tonight I hope that I and Mr. Ford can finally get together to discuss why those failures happened.	No
16785	Now Governor Carter complains about the deficits that uh - uh - this administration has had.	No
34557	The deficits of this administration are now the subject of Governor Carter's complaint.	No
34558	Governor Carter is unhappy with the deficits caused by this administration.	No
34559	Currently, Carter is complaining about the deficits that this administration has encountered.	No
1666	But we all know that we've still got a lot of work to do.	No
34560	We are cognizant that there is still a considerable amount of work to be done.	No
34561	However, we are aware that there is still a considerable amount of work to be done.	No
34562	Nonetheless, we are cognizant of the fact that there is still much to do.	No
907	Well, I think we have to go to work on the problem of Third World debt and we've got to assist those Third World countries in dealing with this massive debt which they currently-which they have incurred and which is burdening them and which if we don't do something about it and assist them along with other nations around the world, we'll destroy their economies, destroy their future.	No
34563	I believe that we need to address the issue of Third World debt by assisting these countries in managing their current overwhelming debt. If we don't help them and other developing nations jointly, it will have devastating consequences for their futures.	No
34564	We must work towards addressing the issue of Third World debt and supporting countries that are facing significant debt burdens.	No
34565	The problem of Third World debt requires our assistance, which includes helping the developing nations that are burdened by this massive debt.	No
33536	She has been outsmarted and outplayed worse than anybody I've ever seen in any government whatsoever.	No
34566	She has been the most outsmarted and outplayed individual I've ever encountered in any government.	No
34567	No one in government has ever outsmarted and outplayed her like she did.	No
34568	In any government, she has been the most outsmarted and outplayed individual I have observed.	No
23904	I was 19 or 20 flying off an aircraft carrier and that shaped me to be Commander-in-Chief of the armed forces.	No
34569	At the age of 19 or 20, I was on an aircraft carrier when it became necessary for me to become the Commander-in-Chief of the armed forces.	No
34570	The experience of flying from an aircraft carrier at 19 or 20 years old led to my appointment as the armed forces Commander-in-Chief.	No
34571	My time on an aircraft carrier at the age of 19 or 20 led me to become the Commander-in-Chief of the armed forces.	No
13956	I just have an honest philosophical difference.	No
34572	My philosophy is a matter of disagreement, let me clarify.	No
34573	Let me clarify: I have a philosophical disagreement.	No
34574	I'm not sure how to approach it philosophically, but let me be clear.	No
24321	We're weak in the world.	No
34575	We're not strong in the world.	No
34576	Our strength is lacking in the world.	No
34577	There is a lack of strength in the world.	No
5813	And I think Congressman Lewis' point was that we have to be careful about how we deal with our supporters.	No
34578	We need to be mindful of how we interact with our supporters, as stated by Congressman Lewis.	No
34579	Congressman Lewis emphasized the need for caution when dealing with our supporters.	No
34580	It was stated by Congressman Lewis that we should exercise caution when dealing with our supporters.	No
7502	We can lift our schools up.	No
34581	It is possible to raise the standards of our schools.	No
34582	Our schools can be raised.	No
34583	We have the capacity to elevate our schools.	No
3044	It doesn't uh - make a determination as to how uh - that relationship should be achieved in relationship to our current uhh - diplomatic recognition and obligations to the Taiwanese Government.	No
34584	The determination of how to proceed with the relationship is not dependent on our diplomatic recognition and obligations to the Taiwanese Government.	No
34585	It is not possible to determine the best approach to achieving our diplomatic recognition and obligations to the Taiwanese Government.	No
34586	We are unable to make a determination on the appropriate way to achieve our diplomatic recognition and obligations to the Taiwanese Government.	No
6478	Yes, we can be safe and secure, if we stay on the offense against the terrorists and if we spread freedom and liberty around the world.	No
34587	If we persist in fighting against terrorism and promote freedom and liberty globally, our safety can be assured.	No
34588	Our safety and security can be ensured by continuing to fight against terrorists and spreading freedom and liberty globally.	No
34589	We can maintain our safety and security by taking action against terrorism and spreading freedom and liberty globally.	No
17756	Mr. Reagan, as you saw tonight -- President Reagan takes the position it will disappear by magic.	No
34590	President Reagan's belief that it will vanish by magic was evident tonight, as Mr. Reagan observed.	No
34591	It was evident that President Reagan assumed it would vanish magically, as you witnessed.	No
34592	Mr. Reagan, as you observed tonight, President Reagan assumes the role of a magic deity and makes it disappear.	No
5976	We can store and reprocess spent nuclear fuel, Senator Obama, no problem.	No
34593	It is within Senator Obama's power to store and reprocess spent nuclear fuel.	No
34594	Senator Obama is willing to store and reprocess spent nuclear fuel.	No
34595	The storage and reprocessing of spent nuclear fuel is within our capabilities, Senator Obama.	No
33178	It's all about the Constitution of -- of -- and so important, the Constitution the way it was meant to be.	No
34596	The Constitution is the most crucial aspect, and the way it was created is of great importance.	No
34597	It is crucial to prioritize the Constitution as it was intended to be.	No
34598	The essence of this matter lies in the Constitution, which is crucially a testament to its originality.	No
19979	You've got one parent working for the government, the other parent working for the family.	No
