Sentence_id	Text	class_label
18898	Now, there are terrorists trying to get their hands on that stuff today.	No
35270	I am not in possession of any loans from Russia.	Yes
35222	The college entrance exams have improved for the first time in approximately 20 years due to these factors.	Yes
15055	It's obvious that we still have a long way to go in fully incorporating the minority groups into the mainstream of American life.	No
9022	But I don't think that the state, the Board of Regents, a Board of Education, or any state official, should try to compose that prayer for a child to recite.	No
2840	I think it's in the best interest of the United States, and the world as a whole that the United States negotiate rather than go back to the cold-war relationship with the Soviet Union.	No
13722	It's a fairly rural state.	No
20107	I said that I would work for tax relief for middle class Americans.	Yes
26223	But because I still believe that there is some discrimination and that not everybody has an opportunity to prove they're qualified, I favor the right kind of Affirmative Action.	No
20321	The current system today has meant a lot for a lot of seniors, and I really appreciate the intentions of the current system as I mentioned.	No
26970	You indicated that we shouldn't be passing nuclear treaties with Russia despite the fact that 71 senators, Democrats and Republicans, voted for it.	Yes
25235	You must be tough and smart.	No
29799	Lester, I think implicit bias is a problem for everyone, not just police.	No
11532	And we have maintained the sanctions.	Yes
20793	We need to make education the number one priority in our country and treat teachers like the professionals that they are.	No
17777	"And they have to live and go to bed at night thinking, ""Is this true?"	No
35705	We approved a bill for area redevelopment that was much more effective than the Administration's proposal, but the President vetoed it twice.	Yes
24096	That's why I think we shouldn't do it that quickly.	No
18929	I'll tell you another way to help protect America in the long run is to continue with missile defenses.	No
20737	I think we need to put Medicare and Social Security in a lockbox.	No
950	And then it gets down to a question of values.	No
26575	I would be willing to have another debate this year.	No
22331	Look at all these women Senate candidates we have here.	No
28825	I know what it means to have a commitment to diversity.	No
11401	Having a hemisphere that is free for trade and peaceful is in our nation's interests.	No
6469	Police officers are being cut from the streets of America because the president decided to cut the COPS program.	Yes
17818	Growth is a little over 3 percent now.	Yes
1748	And so the question is how to get them going again.	No
34658	The State of California was once plagued by a brutal beating by an unnamed man, resulting in the death of their child and causing her life to be fatal. The state's legislature passed legislation mandating that any person who abuses maternity leave can be charged with murder.	Yes
