Sentence_id	Text	class_label
30112	And you must understand, I'm a businessman.	No
3328	And I would add that my administration - and I am very proud of it - is the first administration that took antitrust action against companies in that country that would have cooperated with the Arab boycott.	Yes
3445	And I have a sad note tonight.	No
7897	And in fact, if Senator Kennedy disagrees, he should indicate where he believes these policies are different from those he stands for today.	No
26466	That would be my answer to this question.	No
12648	And we've been in - on the whole, uninterested.	No
9147	And without a university-level job, it's unacceptable.	No
12831	Now, this agenda should define the issues on which there is a possibility of an agreement or negotiation.	No
32184	We have right now almost $20 trillion in debt.	Yes
17096	The interest rates have come down about 9 or 10 points and, we think, must come down further.	Yes
20568	If you look at the history of a lower court judge's rulings, you can get a pretty good idea of how they'll interpret questions.	No
32002	Well, first of all, let me start by saying that so much of what he just said is not fair, but he can run his campaign anyway he chooses.	No
23945	You even brought a right-wing deputy to the White House to plot how to attack me for going to Russia in 1969-1970, when more than 50,000 other Americans did.	Yes
180	I want to keep this economic recovery going.	No
16690	This - talking about more people at work - is distorted because with a 14 percent increase in the cost of living over the last two years - it means that - women and young people had to go to work when they didn't want to because their fathers didn't do enough to pay the increase in the cost of food and housing and clothing.	Yes
8952	And among those vetoes, I stopped spending an additional $16 billion.	Yes
31845	If we set those goals and we go together to try to achieve them, there's nothing in my opinion that America can't do.	No
23247	He lost 1.6 million, ladies and gentlemen.	Yes
14511	We overturned the country.	No
14852	That is what I have tried to do successfully by keeping our country at peace.	No
264	You see, last year in primary school, he expressed his passion.	No
11751	Well, I mentioned Third World debt.	No
6401	These are the policies I have fought for my entire career.	No
6897	It's not a government plan.	No
8603	Secondly, the Vice President mentioned medical care for the aged.	No
25179	Not at all, Mr. Trewhitt, and I want you to know that I will not make age a problem in this campaign.	No
10662	I know how to do this.	No
2831	And the kind of defense program that Mr. Carter wants will mean a weaker defense and a poor negotiating position.	No
3499	You've mentioned President Dwight David Eisenhower.	No
21159	And so I don't know the man well, but I was disappointed at the way he and his administration conducted the fund-raising business.	No
17659	So there are a host of other figures that show that grant programs are more important than they ever were, taking care of more people than they ever had.	Yes
16126	I'm interested in 240 million light points.	No
16713	We need to move from oil to coal.	No
18104	The killer -- the mastermind of the September 11th attacks, Khalid Sheik Mohammed, is in prison.	Yes
2584	We are a nation that believes that we are all children of the same god and that we care for those who have difficulties, those who are old and have problems and challenges, those who are disabled.	No
5530	We must repair our energy policy, which gives us our wealth.	No
2217	They'll have at least two plans.	Yes
8975	The truth of the matter is, we did cut the increase in spending in half.	Yes
28567	Let me tell you my position.	No
17432	The farmers were the victims of the double-digit inflation and the 211/2-percent interest rates of the Carter-Mondale administration and the grain embargo, which destroyed our reliability nationwide as a supplier.	Yes
28915	I'm not proud of any record.	No
956	Who has the integrity and stability to get the job done?Ã¢â€°Â¤ My fellow Americans, I am that man and I ask for your support.	No
29704	We must ensure that they respect and respect communities.	No
34065	That's what Donald thinks.	No
19904	I'm very sensitive to education.	No
10393	That's why I'm asking for your vote and that's why I'm asking for another four years.	No
8117	If we are doing well here, if we are fulfilling our obligations, if we are moving forward, then I think freedom will be guaranteed all over the world.	No
18737	We worked very closely with the foreign ministers of France, Germany and Great Britain, who have been the folks delivering the message to the mullahs that if you expect to be part of the world of nations, get rid of your nuclear programs.	Yes
12751	"Third, I would say this with regard to this report, with regard to Gallup Polls of prestige abroad and everything else that we've been hearing about ""what about American prestige abroad"": America's prestige abroad will be just as high as the spokesmen for America allow it to be."	No
14812	Now, I also believe that this meeting of this mission, this responsibility to preserve peace, which I believe is a responsibility of our country, and that we cannot evade our responsibility as the leader of the free world because we are the only ones who can do so.	No
8428	I think it would be bad for the country; I think it would be bad for the teaching profession.	No
16750	In addition, we need to develop our research and development.	No
14912	At the same time, as I have said earlier, we have added about nine million net new jobs in that period of time - a record never before achieved.	Yes
11763	I just want to make sure the return is good.	No
32577	Why didn't you?	No
12737	If you don't mind, I would like to use the rest of the time to respond to one of Senator Kennedy's comments on the previous question.	No
7278	Actually, I made my intentions -- made my views clear.	No
16684	I remember when Alf Landon was against social security and, later, President Nixon, 16 years ago, told the public that John Kennedy's proposals would go bankrupt and double the cost.	Yes
15749	And if we go forward with the kinds of policies that the Vice President is suggesting tonight and has in the past, that debt is going to grow bigger and bigger and bigger.	No
24116	And with this new Congress coming in, gridlock will be gone, and I'll sit down with them and say let's get this done.	No
32736	And I'm pretty good at it.	No
25716	I think what really matters is what we can do to build strong families.	No
16152	And we ought to expand our markets abroad.	No
20823	Young folks saying I'm going to do something good for my country.	No
26223	But because I still believe that there is some discrimination and not everyone has the opportunity to prove that they are qualified, I prefer the right type of affirmative action.	No
16518	I could also say that - if we see that these objectives cannot be achieved - and I believe they are reasonable objectives - I will reduce the rate of implementation - of new programs in order to allow a balanced budget by fiscal year 81, which is the last year of the next mandate.	No
